Address,Amount
0x63a1f709c525c0165192d39a7c287b3316c02f79,11.51
0x1eef2ea9030b146e3c0433bc19bf0d4ad79c0f9c,10.96
0xfcd5fbbca076fef72fb010f7d075ca42f147d16a,10.61
0xc47ecc38383c625ab8136725b2e7a741b9fa7f05,10.18
0xfbd94c2e7f3b40f8aafbddb7567b1c1e3c3631a3,10.00
0x91147a4c532d6dbfd14ebc16f85c586cb7faadc2,10.00
0x7ba34c647cb9a3e9503d622a0c26f694b39ea6b0,10.00
0xe9f243f0a63d716b240409b1b9a17bb5361fb313,10.00
0x4d903dc235d9e229586e44be1a2a97e90e96d0b4,10.00
0x35c09a6ba314ac31d5130d91d9673830617f32b4,10.00
0x017a4d33031910b570c4fa909a1888100cebff93,10.00
0x38a115f36b9487e0baecdeb1f43abbb5eb8b1db7,10.00
0xc3ed3f6e0a305deaa7622758abd3aee5a59f7aa3,10.00
0x79427600c7d84595bca1f076510680b69837a87e,10.00
0xde1783ec6bb3e58401ed881a4480f619052290b5,9.95
0x28ebe0ca6bc8759ba6f4d3b991cea1eeaa3205b0,9.93
0x635b0b2aceee6ea8270a941d37d428dbdf68bb9d,9.86
0x83e7a099c370c0110b6c95089e3af5d6ed82c954,9.80
0xda104b769bbba486320f66ae73b63f8d213563ec,9.63
0xb1ffcc545ba552875c04c18af7095bfa7f3156ee,9.60
0x7234252b09b53d5f4410f425ece3b1eda5ff4695,9.52
0x9e8ad9a4ff205788fce623ad114db758a9853595,9.10
0x7a0441a211b30a6d711fc906d1cc766d2a98b4ae,8.84
0x4eaadf9f0a2e8c350bf38c23b4835455bb882bac,8.43
0x5731b4525f721ded904cb29165381866f1fd25b7,8.42
0x89a1d64062d8b6785705176b19dca6a48558e187,7.82
0x841d10d3ee43d3578989f1d1e6a31575b8d093ed,7.56
0xaac41fb272cb7c7106a95b494bcf9adc2ba21b5b,6.82
0x6ea412e83666024103bf4f42dcca6e464d2e5c83,6.68
0xdf97790dd25ffb3c8b6a6689a8c0d72b5a8dcc9d,6.54
0xdebec51f53054f6f4c416c5a1f78fb47c00f57aa,6.10
0x0cb27760f6b037f32539a5fde2ed079d450616c3,5.46
0x36f2b9a8518507a7caf65198438406299cc8feff,5.43
0xe71f785448d3c6b1204998dd6c2967f834e9ed20,5.17
0x0a29bb7c7fe3b6e20fd95f2d072da04e4a302e85,5.00
0xb0beed4087c97e6511e8676a62385cf4e2bc0960,5.00
0x1e96a8f471d87db9d63cae9ff3703d6ae6a31c91,5.00
0x9d47dbcece1f2a3097ad3241adf1b540f0e0a8ac,5.00
0x8d8a8390c85c47261971ace19fae3734e4eec28f,5.00
0xe55b5fbc4b49e160d8c4cbf743a16869bbbb2b23,5.00
0x4b7664b7705b5f20e032c43b007d94f1a34e7c05,4.96
0xdd365139ebb04f2cb6d0cdfe1ac5ba617df37ce8,4.95
0xcb3d04a328781d19880cd1c56d2f88b2db5a2aa8,4.67
0x324d32d6700433d42f7e934ba54281cbc64368ef,4.55
0xd4d282e9d86a8f8e1ca69b6565ac6e71921dd35a,4.35
0xb4be3014c67962f543fb59a9a0d02cf22203513b,4.15
0x089a9a56cb41b80412663f0fd3945ea700ceb248,4.12
0x03996ae7cbb63a09767a7c9e739e6271e56a9b96,3.90
0xe4f9bb2cbaca13b5a6f2aa0b48b4ab0c438921dc,3.85
0xda374df66f7d0759fe62434c00673ff71e131c83,3.85
0x343ec155f9779306e547cce8823c8c2711a394ed,3.30
0x45dc5ac0a57492d40a9376d39dc67df74dead84e,3.26
0xb313d0d7211dc9926de1ae3422bab27c817ef1b7,3.23
0xab4b979bac98f446956531d5fff56539a3519700,2.64
0x2f2c36f4fd38d87b28c816662f84ef58c55699cb,2.46
0x509403e2073ae2c944ac6caa0553dc83164e3204,2.38
0x898bc647ec9eebda76203e6dbfd96107474cc33d,2.36
0xedff3fca1979eb7e9bf4f74f4379161b6abbd83e,2.21
0x40730f1d2518e2fd64b80a369727286fc81a4f68,2.04
0x8ee6ecc7009e21ba1dbbeafa01a4a146f147c43d,1.97
0xff87816622a2130c38b760d59a987c9047c407c2,1.97
0x632b8c3a7c1020d054bba82aad570168fb2e73fa,1.87
0xdcc920ea43ec8d9dc24057527fee5a24218295c8,1.42
0x61992c381a9b065a0c412d67d6ea048bf4d0e699,1.11
0xbdf980e4c7587925f5fcdee569e5f8dd33f0e00a,1.07
0x0d2ef383a561063baae52debef186fea0bc93772,1.06
0x812b144bffc99bf50d4d59c5df6b3a3bc0a648db,1.06
0xd4de000d25cfa2a20064e99ac4e3b00b6d34ee45,1.05
0x9a2988296074438acdb474c2afb42a9cf6ef3b39,1.04
0x78be17c91122b362f81d71721cd163fa12b2f371,1.03
0x5dfe38db126c5e9d68f0d82447d28c71cae07dbf,1.00
0xaf837f5d443e5315607aa9c629eb7894b738747a,1.00
0x2d0c8148219d61f91ec92579e2342321c1e42936,1.00
0x52aa3394a8a351a92be8848cba7c33f9212268e4,1.00
0xc22beea8ba884c0e7b2644de597f106fddbb164b,1.00
0x9a0af072d452c2e53f80fd10a926869511380acc,1.00
0xe9056115c534f14555c046e93d95d1d208068b32,1.00
0x5bf50e789029f434ca15b02448ab7bfcab7bdc4e,1.00
0x2581fea10083f9cf444c218047d7bcb9d6606d26,1.00
0xd6525993e12a299a180553f4bde0b5efbf67c48d,1.00
0xcd508dd724d220730a6a204ae5f5b0115dd69a92,1.00
0xd2cba3d652e8cec80f80b1ebc71ea36989f62064,1.00
0x2763afd19a167b977d220fc4bee582b5e112d2dc,1.00
0xba1e526a13e8318597ee8cf12b163e352e026576,1.00
0xf03b5fa2dd319c79a6e88c095169492919cfb0fd,1.00
0xaf194bf18ba7add7a8b7f0657cd13da027c208cc,1.00
0x6290cc0a4f318ea61391de9c90fe2600da26235f,1.00
0x370fe9cccd5e1a1b8d079fb2e24f7af00bf27a3d,1.00
